sampleId,stockCode,stockName,buyDate,sellDate,outcome,entryStrategy,buyPlanType,buyDayLimitOutcome,openingRegime,buyPrice,nextOpen,nextHigh,nextLow,nextClose,mfePct,maePct,realizedReturnPct,tp1Hit,stopHit,missingEvidence
20260714-002552,002552,宝鼎科技,2026-07-14,2026-07-15,unknown,unknown,,,gap_up_failed_followthrough,,59.94,60.5,54.28,55.66,,,,,,five_day|night_review|actual_outcome|entry_strategy
20260714-603459,603459,红板科技,2026-07-14,2026-07-15,unknown,unknown,,,flat_open_failed_followthrough,92.43,94.0,94.2,85.05,85.05,1.91,-7.98,,,,five_day|valid_frozen_night_plan|actual_outcome|entry_strategy
20260714-605006,605006,山东玻纤,2026-07-14,2026-07-15,unknown,unknown,,,gap_up_failed_followthrough,16.32,16.81,17.17,15.85,15.85,5.21,-2.88,,True,True,five_day|actual_outcome|entry_strategy
20260714-002436,002436,兴森科技,2026-07-14,2026-07-15,unknown,unknown,,,gap_up_failed_followthrough,40.16,41.26,41.87,38.43,38.71,4.26,-4.31,,,,five_day|valid_frozen_night_plan|actual_outcome|entry_strategy
20260714-003030,003030,祖名股份,2026-07-14,2026-07-15,unknown,unknown,,,gap_down_recovery_then_fade,25.41,24.95,26.15,24.86,24.98,2.91,-2.16,,True,False,five_day|actual_outcome|entry_strategy
20260722-605376,605376,博迁新材,2026-07-22,2026-07-23,unknown,unknown,,,gap_up_fast_recovery_limit,155.12,149.83,159.52,144.0,146.41,2.84,-7.17,,,,five_day|valid_frozen_night_plan|actual_outcome|entry_strategy
20260722-603800,603800,洪田股份,2026-07-22,2026-07-23,unknown,unknown,,,gap_up_failed_followthrough,69.02,68.5,68.74,64.22,65.29,-0.41,-6.95,,,,five_day|valid_frozen_night_plan|actual_outcome|entry_strategy
20260722-000975,000975,山金国际,2026-07-22,2026-07-23,unknown,unknown,,,strong_open_extension,22.4,22.6,23.66,22.31,22.81,5.63,-0.4,,,,five_day|valid_frozen_night_plan|actual_outcome|entry_strategy
20260722-000426,000426,兴业银锡,2026-07-22,2026-07-23,unknown,unknown,,,strong_open_extension,32.41,32.3,34.17,31.93,33.59,5.43,-1.48,,,,five_day|valid_frozen_night_plan|actual_outcome|entry_strategy
20260730-000893,000893,亚钾国际,2026-07-30,2026-07-31,stop_loss,AM_TOP,[AM_TOP] early lift-off entry,NOT_SEALED_AT_CLOSE,unknown,53.79,,,,,,,,,,buy|sell|five_day|market_buy|market_sell
20260729-603727,603727,博迈科,2026-07-29,2026-07-30,take_profit,AM_TOP,[AM_TOP] early lift-off entry,NOT_SEALED_AT_CLOSE,unknown,17.61,,,,,,,,,,buy|sell|five_day|market_buy|market_sell
20260729-605376,605376,博迁新材,2026-07-29,2026-07-30,take_profit,AM_TOP,[AM_TOP] early lift-off entry,NOT_SEALED_AT_CLOSE,unknown,142.05,,,,,,,,,,buy|sell|five_day|market_buy|market_sell
20260729-603115,603115,海星股份,2026-07-29,2026-07-30,stop_loss,AM_TOP,[AM_TOP] early lift-off entry,NOT_SEALED_AT_CLOSE,unknown,71.85,,,,,,,,,,buy|sell|five_day|market_buy|market_sell
20260728-603078,603078,江化微,2026-07-28,2026-07-29,stop_loss,AM_TOP,[AM_TOP] early lift-off entry,NOT_SEALED_AT_CLOSE,unknown,34.97,,,,,,,,,,buy|sell|five_day|night_review|market_buy|market_sell
20260727-600396,600396,华电辽能,2026-07-27,2026-07-28,take_profit,AM_TOP,[AM_TOP] early lift-off entry,NOT_SEALED_AT_CLOSE,unknown,15.42,,,,,,,,,,buy|sell|five_day|night_review|market_buy|market_sell
20260727-002716,002716,湖南白银,2026-07-27,2026-07-28,take_profit,AM_TOP,[AM_TOP] early lift-off entry,NOT_SEALED_AT_CLOSE,unknown,7.56,,,,,,,,,,buy|sell|five_day|night_review|market_buy|market_sell
20260731-003043,003043,华亚智能,2026-07-31,2026-08-03,stop_loss,AM_TOP,[AM_TOP] open-strength entry,NOT_SEALED_AT_CLOSE,unknown,60.58,,,,,,,,,,buy|sell|five_day|night_review|market_buy|market_sell
20260731-603031,603031,安孚科技,2026-07-31,2026-08-03,take_profit,AM_TOP,[AM_TOP] open-strength entry,NOT_SEALED_AT_CLOSE,unknown,36.56,,,,,,,,,,buy|sell|five_day|night_review|market_buy|market_sell
20260805-605589,605589,圣泉集团,2026-08-05,2026-08-06,take_profit,TAIL_MAIN,[TAIL_MAIN] T3 mid-trend breakout,,unknown,38.32,,,,,,,,,,buy|sell|five_day|market_buy|market_sell
20260805-002716,002716,湖南白银,2026-08-05,2026-08-06,unknown,TAIL_MAIN,[TAIL_MAIN] T3 mid-trend breakout,,unknown,8.64,,,,,,,,,,buy|sell|five_day|market_buy|market_sell|actual_outcome
20260804-603456,603456,九洲药业,2026-08-04,2026-08-05,stop_loss,TAIL_MAIN,[TAIL_MAIN] T3 mid-trend breakout,,unknown,15.68,,,,,,,,,,buy|sell|five_day|night_review|market_buy|market_sell
20260804-600360,600360,华微电子,2026-08-04,2026-08-05,take_profit,TAIL_MAIN,[TAIL_MAIN] T3 mid-trend breakout,,unknown,9.53,,,,,,,,,,buy|sell|five_day|night_review|market_buy|market_sell
20260804-002897,002897,意华股份,2026-08-04,2026-08-05,take_profit,TAIL_MAIN,[TAIL_MAIN] T3 mid-trend breakout,,unknown,52.41,,,,,,,,,,buy|sell|five_day|night_review|market_buy|market_sell
20260810-002155,002155,湖南黄金,2026-08-10,2026-08-11,unknown,TAIL_MAIN,[TAIL_MAIN] T3 mid-trend breakout,,unknown,27.01,,,,,,,,,,buy|sell|five_day|market_buy|market_sell|actual_outcome
20260810-000426,000426,兴业银锡,2026-08-10,2026-08-11,unknown,TAIL_MAIN,[TAIL_MAIN] T3 mid-trend breakout,,unknown,40.81,,,,,,,,,,buy|sell|five_day|market_buy|market_sell|actual_outcome
20260810-002746,002746,仙坛股份,2026-08-10,2026-08-11,unknown,TAIL_MAIN,[TAIL_MAIN] T3 mid-trend breakout,,unknown,6.56,,,,,,,,,,buy|sell|five_day|market_buy|market_sell|actual_outcome
20260807-002038,002038,双鹭药业,2026-08-07,2026-08-10,take_profit,TAIL_MAIN,[TAIL_MAIN] T3 mid-trend breakout,,unknown,5.86,,,,,,,,,,buy|sell|five_day|night_review|market_buy|market_sell
20260807-000518,000518,四环生物,2026-08-07,2026-08-10,stop_loss,TAIL_MAIN,[TAIL_MAIN] T3 mid-trend breakout,,unknown,4.13,,,,,,,,,,buy|sell|five_day|night_review|market_buy|market_sell
20260807-002317,002317,众生药业,2026-08-07,2026-08-10,take_profit,TAIL_MAIN,[TAIL_MAIN] T3 mid-trend breakout,,unknown,28.42,,,,,,,,,,buy|sell|five_day|night_review|market_buy|market_sell
20260806-600408,600408,安泰集团,2026-08-06,2026-08-07,stop_loss,TAIL_MAIN,[TAIL_MAIN] T3 mid-trend breakout,,unknown,2.87,,,,,,,,,,buy|sell|five_day|night_review|market_buy|market_sell
20260826-000878,000878,云南铜业,2026-08-26,2026-08-27,stop_loss,TAIL_MAIN,[TAIL_MAIN] T3 mid-trend breakout,,gap_down_recovery,16.98,16.78,17.08,16.77,16.99,0.59,-1.24,,False,False,night_review
20260826-000737,000737,北方铜业,2026-08-26,2026-08-27,stop_loss,TAIL_MAIN,[TAIL_MAIN] T3 mid-trend breakout,,gap_down_recovery,15.37,15.11,15.38,15.11,15.33,0.07,-1.69,,False,False,night_review
20260831-600228,600228,返利科技,2026-08-31,2026-09-01,take_profit,TAIL_MAIN,[TAIL_MAIN] T3 mid-trend breakout,,gap_up_failed_followthrough,8.79,9.01,9.3,8.97,9.08,5.8,2.05,,True,False,night_review
20260831-600986,600986,浙文互联,2026-08-31,2026-09-01,take_profit,TAIL_MAIN,[TAIL_MAIN] T3 mid-trend breakout,,flat_open_followthrough,7.42,7.47,7.99,7.45,7.7,7.68,0.4,,True,False,night_review
20260901-002758,002758,浙农股份,2026-09-01,2026-09-02,stop_loss,TAIL_MAIN,[TAIL_MAIN] T3 mid-trend breakout,,gap_down_weak,9.24,9.13,9.13,8.86,8.91,-1.19,-4.11,,False,True,night_review
20260902-600435,600435,北方导航,2026-09-02,2026-09-03,take_profit,TAIL_MAIN,[TAIL_MAIN] T3 mid-trend breakout,,flat_open_followthrough,11.55,11.55,11.94,11.4,11.77,3.38,-1.3,,False,False,night_review
20260903-601975,601975,招商南油,2026-09-03,2026-09-04,take_profit,TAIL_MAIN,[TAIL_MAIN] T5 first pullback reclaim,,gap_up_failed_followthrough,4.28,4.43,4.57,4.36,4.48,6.78,1.87,,True,False,night_review
20260903-601083,601083,锦江航运,2026-09-03,2026-09-04,stop_loss,TAIL_MAIN,[TAIL_MAIN] T3 mid-trend breakout,,flat_open_followthrough,13.01,13.06,13.22,12.91,13.1,1.61,-0.77,,False,False,night_review
20260904-002458,002458,益生股份,2026-09-04,2026-09-07,take_profit,TAIL_MAIN,[TAIL_MAIN] T3 mid-trend breakout,,flat_open_followthrough,9.11,9.08,9.2,9.01,9.13,0.99,-1.1,,False,False,
20260904-001313,001313,粤海饲料,2026-09-04,2026-09-07,take_profit,TAIL_MAIN,[TAIL_MAIN] T3 mid-trend breakout,,flat_open_followthrough,7.71,7.74,8.04,7.72,7.96,4.28,0.13,,True,False,
